Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CMT-8504-100","MagneticBuzzer_CUI_CMT-8504-100-SMT",49.500000,13.900000,0.000000,top
"C1","100nF","C_0402_1005Metric",6.220000,21.149920,0.000000,top
"C2","10uF","C_0402_1005Metric",23.900000,40.400000,90.000000,top
"C3","1uF","C_0402_1005Metric",24.850000,40.400000,90.000000,top
"C4","100nF","C_0402_1005Metric",25.800000,40.400000,90.000000,top
"C5","100nF","C_0402_1005Metric",27.750000,40.370000,-90.000000,top
"C6","100nF","C_0402_1005Metric",37.850000,36.700000,0.000000,top
"C7","1uF","C_0402_1005Metric",37.850000,35.750000,0.000000,top
"C8","100nF","C_0402_1005Metric",27.550000,34.200000,180.000000,top
"C9","100uF","C_1206_3216Metric",2.850000,28.400000,90.000000,top
"C10","1uF","C_0402_1005Metric",29.920000,44.400000,0.000000,top
"C11","10nF","C_0402_1005Metric",29.920000,43.450000,0.000000,top
"C12","1uF","C_0402_1005Metric",44.000000,30.300000,180.000000,top
"C13","1nF","C_0402_1005Metric",9.120000,13.949920,180.000000,top
"C14","100uF","C_1206_3216Metric",5.550000,14.049920,180.000000,top
"C15","100nF","C_0402_1005Metric",34.520000,43.550000,0.000000,top
"C16","1uF","C_0402_1005Metric",41.850000,28.800000,-90.000000,top
"C17","100nF","C_0402_1005Metric",4.320000,21.149920,180.000000,top
"C18","43pF","C_0402_1005Metric",9.600000,15.369920,90.000000,top
"C19","1uF","C_0402_1005Metric",10.800000,21.149920,0.000000,top
"C20","8.2nF","C_0402_1005Metric",3.800000,19.949920,0.000000,top
"C21","100nF","C_0402_1005Metric",40.340000,44.950000,0.000000,top
"C22","10nF","C_0402_1005Metric",24.700000,35.212500,0.000000,top
"C23","10uF","C_0402_1005Metric",24.700000,34.262500,0.000000,top
"C24","10nF","C_0402_1005Metric",22.700000,36.922500,-90.000000,top
"C25","100nF","C_0402_1005Metric",38.590000,43.000000,90.000000,top
"C26","100uF","C_1206_3216Metric",12.600000,2.000000,0.000000,top
"C27","12pF","C_0402_1005Metric",30.680000,46.535000,90.000000,top
"C28","12pF","C_0402_1005Metric",35.880000,45.765000,-90.000000,top
"C29","100uF","C_1206_3216Metric",19.400000,2.000000,0.000000,top
"C30","100uF","C_1206_3216Metric",26.200000,2.000000,0.000000,top
"C31","100uF","C_1206_3216Metric",33.000000,2.000000,0.000000,top
"C32","1uF","C_0402_1005Metric",6.100000,15.749920,180.000000,top
"C33","1uF","C_0402_1005Metric",11.830000,36.600000,180.000000,top
"C34","100nF","C_0402_1005Metric",26.050000,26.650000,90.000000,top
"C35","1.8nF","C_0402_1005Metric",27.320000,44.000000,180.000000,top
"C36","1.8nF","C_0402_1005Metric",27.300000,46.800000,180.000000,top
"C37","15pF","C_0402_1005Metric",22.700000,34.750000,-90.000000,top
"D1","DFLS130L","D_PowerDI-123",52.450000,31.800000,0.000000,top
"D2","DFLS130L","D_PowerDI-123",47.425000,31.800000,180.000000,top
"D3","1N4148W","D_SOD-123",42.800000,16.700000,-90.000000,top
"D5","Power","LED_0603_1608Metric",52.900000,44.800000,180.000000,top
"D6","TX0","LED_0603_1608Metric",52.900000,43.200000,180.000000,top
"D7","RX0","LED_0603_1608Metric",52.900000,41.600000,180.000000,top
"D8","Action","LED_0603_1608Metric",52.900000,40.000000,180.000000,top
"J1","USB_C","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",51.300000,24.500000,90.000000,top
"J2","I2C","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",13.475000,51.750000,180.000000,top
"L1","2.7nH","L_0402_1005Metric",26.800000,40.365000,90.000000,top
"L2","1uH","L_APV_APH0630",7.600000,26.250000,-90.000000,top
"L3","2.7nH","L_0402_1005Metric",27.800000,45.400000,90.000000,top
"Q1","BC817-40","SOT-23",44.400000,21.000000,180.000000,top
"Q2","NMOS","PDFN3x3-8L",3.662500,10.600000,0.000000,top
"R1","470k","R_0402_1005Metric",9.550000,11.550000,90.000000,top
"R2","267k","R_0402_1005Metric",8.600000,21.149920,0.000000,top
"R3","118k","R_0402_1005Metric",9.090000,12.999920,0.000000,top
"R4","100","R_0402_1005Metric",46.400000,36.000000,-90.000000,top
"R5","28.7k","R_0402_1005Metric",8.650000,15.359920,-90.000000,top
"R6","10k","R_0402_1005Metric",41.850000,26.950000,90.000000,top
"R7","124k","R_0402_1005Metric",11.000000,15.749920,0.000000,top
"R8","5.1k","R_0402_1005Metric",41.100000,18.400000,-90.000000,top
"R9","5.1k","R_0402_1005Metric",41.100000,16.500000,90.000000,top
"R10","10k","R_0402_1005Metric",22.700000,38.810000,90.000000,top
"R11","5.1k","R_0402_1005Metric",39.380000,37.800000,0.000000,top
"R12","5.1k","R_0402_1005Metric",41.240000,37.800000,180.000000,top
"R13","470","R_0402_1005Metric",39.690000,14.650000,180.000000,top
"R14","470","R_0402_1005Metric",42.000000,21.710000,90.000000,top
"R15","10k","R_0402_1005Metric",13.700000,36.600000,180.000000,top
"R16","10k","R_0402_1005Metric",15.590000,36.600000,180.000000,top
"R17","10k","R_0402_1005Metric",35.700000,26.650000,90.000000,top
"R18","5.1k","R_0402_1005Metric",27.550000,35.150000,0.000000,top
"R19","5.1k","R_0402_1005Metric",27.550000,36.100000,180.000000,top
"R20","10k","R_0402_1005Metric",2.700000,14.050000,90.000000,top
"RN1","47","R_Array_Convex_4x0402",27.400000,38.000000,180.000000,top
"RN2","1k","R_Array_Convex_4x0402",46.900000,40.500000,180.000000,top
"RN3","0","R_Array_Convex_4x0402",30.100000,33.750000,-90.000000,top
"RN4","1k","R_Array_Convex_4x0402",23.800000,31.862500,90.000000,top
"RN5","1k","R_Array_Convex_4x0402",21.300000,31.862500,90.000000,top
"RN6","0","R_Array_Convex_4x0402",32.600000,33.750000,90.000000,top
"SW1","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",50.700000,36.000000,180.000000,top
"SW2","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",13.900000,39.900000,180.000000,top
"SW3","TS-1187A-B-A-B","SW_Push_1P1T_XKB_TS-1187A",13.900000,45.600000,180.000000,top
"U1","AP2112K-3.3","SOT-23-5",44.400000,28.000000,0.000000,top
"U2","TPS61088","RHL0020A",7.350001,18.400002,-90.000000,top
"U3","USBLC6-2SC6","SOT-23-6",44.400000,24.500000,180.000000,top
"U4","ESP32-S3FN8","QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm",32.800000,38.850000,0.000000,top
"U5","ICM-42688-P","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",24.700000,37.450000,-90.000000,top
"U6","AHT20","AHT20",40.290000,39.900000,0.000000,top
"U7","BMP388","BMP388_v2",40.340000,43.219000,0.000000,top
"U8","SS206SURWA/S530-A3/S290","SS206SURWA",16.000000,29.300000,0.000000,top
"U9","74HC595","TSSOP-16_4.4x5mm_P0.65mm",22.700000,26.662500,-90.000000,top
"U10","W25N04KVZEIR","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",30.850000,28.075000,180.000000,top
"Y1","40 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",33.280000,45.765000,180.000000,top
"Y2","32.768kHz","Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm",24.100000,44.100000,-90.000000,top
